CookerStat, GenerateAssetRegistry=0.023320, Initialize=0.144254, RunGuid=RunID2B8E06664E38E5204DD1619074B2CE68
DDCTransactionIdD311AF1B4EB68362E8AF44BC7806C22C_0, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_C984A14B4C828F52416BF6A1089FF50__2794303F918EAFB779BD9DD2CC4A1B497CF7F231, StartTime=2016.05.27-14.19.14, HierarchicalDDC=, DataSize=840, Duration=27.457808, RunGuid=RunID2B8E06664E38E5204DD1619074B2CE68
SavePackageTransactionIdE5FB1E0F46AAF749FE55C9B34473C4B4_0, Filename=../../../../../../Users/family2/Documents/Unreal Projects/TutorialProject/Content/StarterContent/Architecture/Floor_400x400.uasset, AutoPackageBackupDelegate=15.201588, FlushAsyncLoading=0.009328, FlushStreamingFunc=0.025321, BlockTillAllRequestsFinished=0.031315, ResetLoadersForSaveUnMarkAllObjects=69.382942, TagPackageExports=0.044309, BeginCacheForCookedPlatformData=0.002332, SerializeImports=0.841536, GatherLocalizableTextData=7.653099, MarkNames=0.012659, SerializeSummary=2.096508, SerializeNames=0.112273, SerializeGatherableTextData=0.002332, BuildExportMap=0.031646, SortExportsNonSeekfree=0.169907, SortExportsSeekfreeConstructor=0.425100, SortExportsSeekfreeInner=1.007441, SortExportsSeekfree=0.005331, BuildDependencyMap=0.149917, SerializeImportMap=0.011992, SerializeExportMap=0.008330, SerializeDependencyMap=0.001669, SerializeStringAssetReferenceMap=0.001997, SaveThumbNailsAssetRegistryDataWorldLevelInfo=10.607131, SerializeExports=0.430427, SerializeBulkData=0.035983, MoveFile=1.327597, UnaccountedTime=11.203803, RunGuid=RunID2B8E06664E38E5204DD1619074B2CE68
DDCTransactionIdC28BD1D54060BA17D81B9EBA0F0FC1BE_0, BuildTexture=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_FC7A1A594001EBE0E467E3A2D692FE23_07_0000803F0000803F0000803F000000000000803F00000000000000000000803F0000000000000000020000000E000000000000000101000000040000803FFFFFFFFF00000000FF00FF00FFFF8180803B, StartTime=2016.05.27-14.19.16, Duration=223.046249, RunGuid=RunID2B8E06664E38E5204DD1619074B2CE68
DDCTransactionIdFD2F6C884E755536859376A5679C539E_0, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_FC7A1A594001EBE0E467E3A2D692F__F347CAA94BBC0F3A24C8B7FB4F69617A6A85C015, StartTime=2016.05.27-14.19.16, HierarchicalDDC=, DataSize=262407, Duration=2.452642, RunGuid=RunID2B8E06664E38E5204DD1619074B2CE68
DDCTransactionId29EF8E34413F5DC868FC70B9DC7AD1AD_0, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_FC7A1A594001EBE0E467E3A2D692F__8615B3B40FE41DAB6E69A5C460CF923101857EFF, StartTime=2016.05.27-14.19.16, HierarchicalDDC=, DataSize=65799, Duration=2.348367, RunGuid=RunID2B8E06664E38E5204DD1619074B2CE68
DDCTransactionIdD311AF1B4EB68362E8AF44BC7806C22C_1, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_FC7A1A594001EBE0E467E3A2D692F__2987912F2631C0C7F3AC48A4AE6790FACCBFEA14, StartTime=2016.05.27-14.19.16, HierarchicalDDC=, DataSize=16647, Duration=2.228767, RunGuid=RunID2B8E06664E38E5204DD1619074B2CE68
DDCTransactionIdC28BD1D54060BA17D81B9EBA0F0FC1BE_1, BuildTexture=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_A03284D8411051A35ED81D99FE3E9BA3_07_0000803F0000803F0000803F000000000000803F00000000000000000000803F0000000000000000020000000E000000000000000101000000040000803FFFFFFFFF00000000FF00FF00FFFF8180803B, StartTime=2016.05.27-14.19.16, Duration=7.273309, RunGuid=RunID2B8E06664E38E5204DD1619074B2CE68
DDCTransactionIdD311AF1B4EB68362E8AF44BC7806C22C_2, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_FC7A1A594001EBE0E467E3A2D692F__883FEF797EAC9E7AF6376007E47FEDCA89C86A97, StartTime=2016.05.27-14.19.16, HierarchicalDDC=, DataSize=6899, Duration=1.740374, RunGuid=RunID2B8E06664E38E5204DD1619074B2CE68
DDCTransactionIdFD2F6C884E755536859376A5679C539E_1, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_A03284D8411051A35ED81D99FE3E9__1A5578C3526F715997B0B7D765646CBDB4E59541, StartTime=2016.05.27-14.19.16, HierarchicalDDC=, DataSize=6014, Duration=1.676738, RunGuid=RunID2B8E06664E38E5204DD1619074B2CE68
DDCTransactionIdC28BD1D54060BA17D81B9EBA0F0FC1BE_2, BuildTexture=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_DXT1_5C50B816464CCC8B300534A1100D56C6_07_0000803F0000803F0000803F000000000000803F00000000000000000000803F0000000000000000020000000E000000000000000101000000040000803FFFFFFFFF00000000FF00FF00FFFF8180803B, StartTime=2016.05.27-14.19.16, Duration=41.576992, RunGuid=RunID2B8E06664E38E5204DD1619074B2CE68
DDCTransactionId29EF8E34413F5DC868FC70B9DC7AD1AD_1, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_DXT1_5C50B816464CCC8B300534A1100D56C6__EA88B4CE3DE996BB264326F9E7786ACFA165F398, StartTime=2016.05.27-14.19.16, HierarchicalDDC=, DataSize=131332, Duration=2.356697, RunGuid=RunID2B8E06664E38E5204DD1619074B2CE68
